id,功能模块名称,功能模块描述
D2-F4-7-2,车道保持辅助-LKA,车道保持辅助-LKA功能开关设置；
D2-F4-8,盲区监测-BSD,盲区监测-BSD功能开关设置
D2-F4-8-1,BSD显示/设置,支持盲区监测-BSD功能的显示及设置；
D2-F4-9,智能远近光-HMA,智能远近光-HMA功能开关设置
D2-F4-9-1,HMA显示/设置,支持智能远近光-HMA功能的显示及设置；
D2-F4-10,代客泊车-AVP,"AVP启动提示,车机端显示轨迹线"
D2-F4-11,RPA/APA/AVM,在低速泊车时，通过摄像头感知采集周边的环境信息，并通过中控屏幕显示全景影像
D2-F4-11-1,自动泊车显示/设置,"多种触发条件进入/退出全景影像（如倒车信号自动触发、硬按键、软按键、语音等手动触发）
AVM画面延迟退出（超过时速退出）
动态/静态轨迹线显示
""""2D与3D车模，全景影像俯视/特写图画面显示、视角转换等显示需求
（含开门灰化、摄像头故障黑化显示）（透明底盘）""""
工厂标定功能
360环视影像与APA/RPA界面软开关（具体要求参考功能规范）
AVM/APA/RPA触发的提醒、报警信息（包含语音、声音提醒）具体要求参考功能规范"
D2-F4-12,V2X,V2X开启关闭设置
D2-F4-12-1,V2X显示/设置,V2X开启关闭设置
D2-F4-13,SLA显示设置,限速辅助功能设置项，包括【IVI开关】及可设定限速值的UI
D2-F5-1,语音交互,实现智能语音交互功能
D2-F5-1-1,本地语音指令,支持普通语音指令（车控、空调、导航、本地音乐、有声读物、新闻、蓝牙电话等）（以华为语料库为准）
D2-F5-1-2,氛围灯律动显示,氛围灯声源律动（RGB无极氛围灯）（可行性待讨论）TBD
D2-F5-1-3,自定义唤醒词,支持自定义唤醒词的语言设定
D2-F5-1-4,免唤醒,支持免唤醒语音指令（部分场景，如导航界面的车头向上、2D/3D地图显示等）（能力是否实现需要HW确认）
D2-F5-1-5,ASR/TTS,"支持ASR（自动语音识别技术）语言转文字的实时显示；支持TTS（从文本到语音）语言播报能力
补充5级描述：支持ASR（自动语音识别技术）语言转文字的实时显示
支持TTS（从文本到语音）语言播报能力"""
D2-F5-1-6,声源定位,"支持前后排最大支持4分区声源定位；
增加5级描述：支持前后排最大支持XXXX分区声源定位；
支持声源定位应用的拓展功能，座椅加热、座椅按摩、空调、车窗的分区控制"
D2-F5-1-7,指令连说,支持One-shot语音唤醒和指令连说
D2-F5-1-8,语言,支持方言口音普通话识别；支持部分方言（不限于川语、粤语）能力（通过OTA实现更新）
D2-F5-1-9,持续聆听,支持持续聆听（系统执行完一轮语音命令后，仍可保持一段时间的唤醒态，等待时间可配置）
D2-F5-1-10,模糊识别,支持自然语义理解及模糊指令识别
D2-F5-1-11,在线生态,支持语音的在线技能库生态；支持在线智慧库问答
D2-F5-1-12,API通道,提供语音API，支持第三方应用实现语音交互控制（ADAS、油量报警等播报应用拓展）
D2-F5-1-13,多轮对话,支持打断与部分场景下的多轮对话能力；支持跨音区上下文语义理解与交互
D2-F5-1-14,交互界面,语音交互形象【不能是具体的小艺实体形象】
D2-F5-1-15,声纹复刻,通过录入少量指定话术，可将全局TTS音色变为录入人的个性化音色进行播报
D2-F5-1-16,所见即可说,支持所见即可说能力；要求能够智能识别HMI界面内容、语音语义、对可操作项进行操作
D2-F6-1,地图/导航,"ADS地图或者花瓣地图。不在座舱提供SOR中，支持普通导航与3D和ADS导航之间一境到底切换。支持充电站地图（推荐，查询,导航）"
D2-F6-1-1,定位,"使用位置数据来控制特性的服务（提供API通道，支持应用拓展）,支持辅助定位、惯导适配等"
D2-F6-1-2,地图数据,内置地图数据；支持在线更新，支持2D/3D显示场景切换
D2-F6-1-3,导航,支持POI搜索、路线规划、实时交通、车头朝向等基础导航功能
D2-F6-1-4,智能导航（导航）,支持车辆电量/燃油低提示；主动推送附近充电桩/加油站路线；支持接近目的地停车服务推荐；提供从停车，到具体目的地最后一公里的导航；长途行车过程中的停车服务路线规划
D2-F6-1-5,组队服务,支持用户组队出行，支持同频语音和实时位置分享
D2-F6-1-6,V2X需求融入,交通标志识别：功能设置；声音、视觉告知用户需要注意的标识交通信号灯识别：功能设置；车辆、转向信号灯，红绿灯内容在3D路况虚拟场景;
D2-F6-1-7,用户管理/设置,用户管理/设置（需支撑公里/英里显示）
D2-F8-1,车辆状态显示,支持3D内外一体车模，在车控应用中，响应车身实际状态
D2-F8-1-1,3D车模,3D内外一体车模（带轮毂、刹车盘、座椅内饰等外漏细节件）（含设置时产生的对应动画效果）
D2-F8-1-2,安全带提醒,在行驶过程中，当前排或者二排安全带在任何时刻被解开时，向驾驶员发出视觉或声觉通知
D2-F8-1-3,车窗,仅开闭状态
D2-F8-1-4,5门1盖,4车门、尾门和引擎盖开闭状态
D2-F8-1-5,车外灯光,含支持远近光切换显示
D2-F8-1-6,充电口,开闭状态
D2-F8-1-7,加油口,开闭状态
D2-F8-1-8,后视镜,后视镜折叠与展开状态
D2-F8-1-9,车身颜色,车身色彩跟随实际生产车辆变化
D2-F8-1-10,配置信息,车辆配置信息
D2-F8-1-11,VIN号,车辆VIN号
D2-F8-1-12,车牌号,车牌号显示（需在个人中心页面录入车牌号）
D2-F8-1-13,氛围灯,氛围灯显示
D2-F8-1-14,能量管理,查看电耗信息（能耗曲线、平均能耗统计等）
D2-F8-1-15,胎压、胎温,查看胎压信息，异常时提示胎压、胎温告警信息
D2-F8-1-16,萌宠壁纸,动态壁纸，可通过点击，实现人机交互
D2-F8-2,车外报警提示,整车低速模式下的整车报警提醒提示功能
D2-F8-2-1,低速行人提醒音,通过车机SOC及外置功放、外置扬声器，在车辆低速行驶时播放车外提示音
D2-F8-2-2,车辆闭锁提示音,通过车机SOC及外置功放、外置扬声器，在车辆解锁、上锁时同步播放提示音
D2-F8-2-3,个性化锁车提示音,可支持用户自定义音源，并通过车机SOC及外置功放、外置扬声器，在车辆解锁、上锁时同步播放提示音
D2-F8-3,座舱系统设置,支持座舱系统设置
D2-F8-3-1,安全气囊屏蔽功能,打开或者关闭乘员安全气囊，告知驾驶员安全气囊的状态
D2-F8-3-2,低速行人提醒设置,低速行人提醒音设置选项
D2-F8-3-3,连接管理,蓝牙连接、WiFi连接、数据连接开启/关闭
D2-F8-3-4,音频设置/控制,支持音频主动降噪功能；主动降噪开启或关闭开关；头枕模式设置（私享/仅电话与导航音/关闭）；可变更提示音主题声场与音效设置（包含环绕声、自适应音效等）；音量设置：分为语音音量；媒体音量；播报音量；通话音量；车内模拟声浪，音源内置、模拟发声；车外模拟声浪，音源内置、模拟发声
D2-F8-3-5,操作反馈设置,操作屏；幕或按键后，执行中控屏震动反馈、按键音反馈；打开/关闭（默认打开）
D2-F8-3-6,语音,语音设置
D2-F8-3-7,语言,支持中、英文语言切换（同步到仪表、副驾娱乐屏、后排背投屏）
D2-F8-3-8,单位/格式,管理整车单位和格式的设定（同步仪表、AR-HUD）
D2-F8-3-9,时间/日期,时间/日期管理（设置显示格式）
D2-F8-3-10,OTA,OTA升级管理【见下文中的OTA模块】
D2-F8-3-11,版本信息显示,IVI/仪表/V-BOX等版本信息显示
D2-F8-3-12,恢复系统的出厂设置,恢复系统的出厂设置
D2-F8-3-13,清除缓存,清除缓存
D2-F8-3-14,背光调节,支持车载屏幕背光亮度独立手动调节；支持仪表/中控屏/副驾娱乐屏背光亮度自适应调节（主机自带亮度传感器，可同时同步给其他屏幕）
D2-F8-3-15,白天/黑夜模式,支持白天/黑夜/自动模式选择；自动切换基于：时间；车载屏幕的白天、黑夜两种配色显示；设置后可同时同步给其他屏幕
D2-F8-3-16,开门点亮阅读灯开关,开门时点亮阅读灯
D2-F8-3-17,行车禁用视频,行车禁用视频开关（关联车速，禁用中控屏视频）；中控屏应用的功能限制开关（关联车速，禁用视频）；手机投屏通过建立连接时的免责声明来规避，不做功能约束；关闭开关时提示免责申明；默认开启行车时禁用视频；
D2-F8-4,安全隐私及条款,新用户登录显示用户许可协议，各程序隐私条款，各程序的设备访问权限开关等
D2-F8-4-1,新用户登录显示用户许可协议,用户通过IVI投屏点击《用户许可协议》的“同意”之后，将该协议或授权的“痕迹”上传至车云平台或其他可调取的地方保存，
D2-F8-4-2,IVI条款查看,可直接浏览IVI本身的条款
D2-F8-4-3,各程序隐私条款,可查看每个已安装的程序独立的隐私条款
D2-F8-4-4,各程序的设备访问权限开关,用户可设置各程序是否有权限使用摄像头、麦克风、通讯录等功能的隐私开关
D2-F8-4-5,程序询问用户开通权限,当程序需要使用用户某项未批准的权限才能运作时，应询问用户，并阐明权限用途。用户判断是否给予权限
D2-F8-5,空调设置,在大屏上进行空调设置，控制空调工作模式和状态
D2-F8-5-2,前排风量控制功能,通过人机交互界面手动或AUTO模式下自动独立调节前排左右侧风量大小
D2-F8-5-6,前排模式控制功能,不同模式选择：吹面、吹面吹脚、吹脚、吹脚除霜、除霜、吹面除霜、吹面吹脚除霜
D2-F8-5-8,内外循环切换功能,内循环、外循环、Auto循环
D2-F8-5-9,主驾区温度控制功能,温度可控范围：LO（16℃）～18℃…30.5℃～HI（31℃）
D2-F8-5-10,副驾区温度控制功能,温度可控范围：LO（16℃）～18℃…30.5℃～HI（31℃）
D2-F8-5-13,最大制冷（急速降温）设置,软开关，开启后空调系统处于最大制冷运行
D2-F8-5-14,最大制热（急速采暖）,支持乘客尽可能快的升高乘员舱温度（开启后自动调节最高温度最大风量，实现乘员舱快速升温）
D2-F8-5-15,分区控制,支持空调分区控制
D2-F8-5-16,一键同步,开启后一键同步各温区空调设置
D2-F8-5-17,单席模式（温区独享）,开启后智能调节无乘员区域出风
D2-F8-5-18,前除霜/除雾功能,软开关，开启后前挡玻璃、侧窗玻璃进入除霜/除雾
D2-F8-5-19,手动后除霜/除雾,支持手动后风窗除霜
D2-F8-5-20,自动除雾设置项,软开关，开启后自动根据玻璃温度、车内温湿度判断起雾风险，提前自动开启除雾
D2-F8-5-23,车外温度显示,支持大屏、仪表天气详细页面显示车外温度
D2-F8-5-24,驻车自动通风设置项,软开关，开启后用户锁车后开启通风功能，用于改善车内空气质量
D2-F8-5-26,远程迎宾功能,可通过自动开启空调急速降温/采暖模式实现远程迎宾
D2-F8-5-28,驻车环境信息通讯,反馈给车辆使用者车辆内部的环境状态（车内环境）
D2-F8-5-30,前排空调ON/OFF控制,前排空调开关
D2-F8-5-31,二排空调ON/OFF控制,二排空调开关，不能独立开启，和前排开关状态绑定
D2-F8-5-32,前排AUTO模式,软开关，开启后前排空调系统处于自动状态，风量、出风模式、内外循环等均自动调节
D2-F8-5-34,AC控制,通过AC控制开启关闭空调压缩机
D2-F8-5-43,空调能量管理功能,软开关，分为舒适、节能两种模式，小憩、露营、经济等模式调用该功能
D2-F8-5-44,空调AC设置,软开关，开启后压缩机/PTC运行，空调系统制冷制热功能生效；
D2-F8-5-45,空调通风设置,软开关，开启后压缩机/PTC不工作，空调系统仅通风状态；
D2-F8-5-48,滤芯更换提示功能,提醒用户更换滤芯
D2-F8-5-51,后除霜除雾功能,开启后档玻璃、后视镜加热
D2-F8-5-59,智能温区,NA
D2-F8-6,车辆设置/控制,支持车辆设置、控制类软开关
D2-F8-6-1,底盘域设置,制动、转向等模式设置，具体见中控车控专题
D2-F8-6-2,底盘域控制,自动驻车开关 、ESC开关、陡坡缓降开关
D2-F8-6-3,ESC功能关闭,驾驶员可以选择关闭ESC功能
D2-F8-6-4,舒适制动设置-CST,在制动过程中，舒适制动功能可以让制动系统自动地、智能地调节制动力，以避免刹车时出现“点头”现象，为驾乘人员提供更加平顺、舒适的体验
D2-F8-6-5,制动液位报警,当制动液位过低时，进行提示【IVI开关IC提示】
D2-F8-6-6,静态驻车制动,通过P挡按钮或者驻车制动软开关，使静止的车辆执行驻车
D2-F8-6-7,自动驻车-AVH,自动驻车功能被激活后，当车辆停止时，制动系统自动施压，起到驻车制动的效果，驾驶员不需一直踩着制动踏板
D2-F8-6-10,转向助力模式,支持用户设置转向助力模式
D2-F8-6-13,车身设置,"无线充电、氛围灯、车钥匙等；
开启或关闭智能远光灯辅助系统功能；
后视镜折叠与展开设置；"
D2-F8-6-14,车身控制,大灯高度调节、燃油口充电口开启、天窗、后视镜、雨刮、后视镜自动翻转、低速行人报警、氛围灯等的控制
D2-F8-6-15,前舱盖控制,包含前舱盖的开关控制与显示；屏幕上提供前舱盖电动开启软开关，用于控制前舱盖开启；在屏幕上显示前舱盖的开启关闭状态
D2-F8-6-16,充电口控制,包含充电口的开关控制与显示
D2-F8-6-17,加油口控制,包含加油口的开关控制与显示
D2-F8-6-18,电源状态切换,常规、情景、OTA、远程、蓝牙、ADAS等低压上下电
D2-F8-6-19,外接交流充电,完成外接交流充电线缆连接后，由BMS进行充电需求计算，并控制OBC向动力电池充电。
D2-F8-6-20,预约充电,车辆接收远程控制端发来的信号，TBOX发出充电命令，唤醒BCM上低压，唤醒VCU上高压，检测充电状态正常后，由BMS控制充电过程。当充电充满，或出现故障，BMS退出充电过程，VCU发出下电命令，关闭低压电器附件，执行高压下电流程。充电情况反馈给远程控制端。
D2-F8-6-21,外接直流充电,用户连接直流充电桩与车辆后，由BMS与充电桩进行相关交互，系统协同完成外接直流充电功能。
D2-F8-6-22,交流放电,完成外接放电线缆连接后，由BMS基于外接负载需求进行放电需求计算，并控制车载充电机进行放电。
D2-F8-6-23,直流放电,连接车对车充电线缆，车辆启动增程器对其他车辆进行充电。
D2-F8-6-24,驾驶模式设置,用户可通过IVI设置驾驶模式（经济、舒适、运动、弹射、自定义等），主模式为经济，且具备模式保持记忆功能。
D2-F8-6-25,道路模式设置,用户可通过IVI设置驾驶“湿滑路面”模式，且具备模式保持记忆功能。
D2-F8-6-26,能量回收强度设置,根据驾驶员需求，在IVI中设置能量回收强度等级。VCU根据IVI设置的能量回收等级计算滑行能量回收扭矩，控制电机回收能量。IVI关闭能量回收功能后，不进行滑行能量回收。
D2-F8-6-27,车辆模式设置,用户可通过IVI软开关进行切换，选择车辆模式（自动模式、纯电优先、燃油优先）。
D2-F8-6-28,能耗计算,根据所行驶的距离和对应的总耗电量/油耗，估算车辆消耗的电量/油量（包括：百公里平均电耗/油耗、小计里程A平均电耗/油耗、小计里程B电耗/油耗、当前总里程平均电耗/油耗），负责各里程电耗/油耗显示、重置。
D2-F8-6-29,滑行能量回收,车辆达到一定车速后，用户松开加速踏板和制动踏板，车辆滑行时，控制驱动系统倒拖发电。在整车减速度达到一定阈值后，控制整车点亮制动灯。
D2-F8-6-30,座椅设置,支持前排座椅加热、通风、按摩；绑定座椅位置状态；读取座椅位置状态；通过开关调节座椅位置至出厂位置；前排座椅角度调节；支持二排座椅加热；支持二排座椅通风；支持二排座椅按摩；支持二排一键零重力；
D2-F8-6-31,外后视镜记忆联动座椅,联动座椅进行位置记忆和位置读取，同时包含倒档倾斜外后视镜
D2-F8-6-32,外后视镜调节,（防眩目功能开启与关闭，倒车自动禁止防眩目；内后视镜位置记忆；流媒体内后视镜；外后视镜水平和竖直方向的电动调节、电机保护；外后视镜的折叠和展开；外后视镜防眩目功能开启与关闭；外后视镜加热&后挡玻璃除霜；电子外后视镜显示调节；电子外后视镜摄像头调节）
D2-F8-6-33,安全域设置,ADAS相关驾驶辅助功能设置
D2-F8-6-34,抛负载,根据车辆使用情况，主动关闭部分功能【根据整车的定义关闭的功能】
D2-F8-6-35,信息娱乐设置,抬头显示器开启关闭设置、出厂模式、最佳体验模式的设置等
D2-F8-6-36,雨刮片维修模式,用于隐藏式雨刮片的维修
D2-F8-6-37,断高压维修模式,整车开启维修模式后，各高压零部件保持唤醒状态，但整车无法进入带高压状态。
D2-F8-6-38,燃油检测模式,《GB 18285-2018 汽油车污染物排放限值及测量方法 （双怠速法及简易工况法）》8.1.1要求 ：新型混合动力电动汽车增加燃油消耗最大切换开关，燃油系统处于最大燃油消耗工况；用于认证、下线、上牌等汽车污染物排放测试。
D2-F8-6-39,迎宾功能,便捷上、下车：座椅和方向盘随驾驶员上下车而动作，包含灯光/座椅/方控/后视镜等全部迎宾
D2-F8-6-40,方向盘设置,通过账号记忆方向盘位置；通过人机交互界面打开/关闭方向盘加热功能，可选择加热等级；通过人机交互界面打开/关闭方向盘调节功能，调节故障时提示
D2-F8-6-41,车窗控制,通过大屏软开关实现车窗功能的相关控制；软开关控制车窗开启、关闭、通风【IVI开关】；软开关打开/关闭闭锁升窗功能【IVI开关】；软开关打开/关闭车窗锁止功能，开启后临时禁止后排硬开关操作车窗【IVI开关】
D2-F8-6-42,安全带未系提醒,在行驶过程中，当前排或者二排安全带在任何时刻被解开时，向驾驶员发出视觉或声觉通知
D2-F8-6-43,低速行人提醒设置,低速行人提醒音设置选项
D2-F8-6-45,遮阳帘控制,天幕遮阳帘打开/关闭/悬停，后排和后挡遮阳帘打开/关闭。
D2-F8-6-49,寻车模式设置,设置寻车时车辆以闪灯或闪灯+鸣笛的方式进行响应
D2-F8-6-50,行程管理,总里程、小计里程、本次里程等数据
D2-F8-6-51,M-link功能,M-link支架在位检测、设备在位检测、供电口控制等功能
D2-F8-6-56,前舱盖电动解锁打开,通过大屏软开关控制前舱盖电动解锁打开
D2-F8-6-58,自动雨刮灵敏度设置,通过软开关设置自动雨刮灵敏度【IVI】
D2-F8-7,车辆门锁安全设置,车辆门锁解闭锁控制、电子儿童锁设置等
D2-F8-7-1,开关一键控制,通过开关、RKE（遥控门锁）、PKE（无钥匙进入）、远程、语音等方式自动控制车窗
D2-F8-7-2,解锁控制,支持机械钥匙、中控开关、RKE/PKE（两步解锁）、远程解锁、蓝牙钥匙、NFC钥匙，同时包含中控锁状态指示和锁热保护
D2-F8-7-3,闭锁控制,支持机械钥匙、中控开关、RKE/PKE、远程闭锁、蓝牙钥匙、NFC钥匙，同时包含中控锁状态指示和锁热保护
D2-F8-7-4,自动控制,包含车速自动上锁、熄火自动解锁、二次落锁、碰撞解锁
D2-F8-7-5,电子儿童锁,后排电子儿童锁功能
D2-F8-7-8,钥匙遗留提醒,钥匙未拔出或者钥匙遗留在车内的提醒功能
D2-F8-7-9,尾门门锁解锁,包含本地开关、RKE/PKE、脚踢、远程、语音、靠近解锁等方式
D2-F8-7-11,无钥匙进入与退出,无钥匙控制四门开启与关闭、四门解闭锁、背门开启等
D2-F8-7-12,PEPS提示与报警,无钥匙进入与退出时，触发的报警与提示
D2-F8-7-13,主驾单门解锁模式,通过人机交互界面开启/关闭，用户开启后，外部解锁只会解锁主驾门
D2-F8-7-14,靠近解锁/远离闭锁设置,通过人机交互界面开启/关闭靠近解锁/远离闭锁功能
D2-F8-8,灯光控制,灯光开关设置，如近光灯、大灯高度调节等
D2-F8-8-1,手动/自动近光灯,照明车辆前方道路，且对来车的驾驶员和其他道路使用者不造成眩目或不舒适感的灯具
D2-F8-8-2,AFS大灯开关,AFS（随动转向大灯）自动控制前照灯实时进行上下、左右照明角度的调整
D2-F8-8-3,大灯高度手动调节,手动升高/降低大灯高度，以调整大灯照射距离
D2-F8-8-4,后雾灯,在大雾情况下，从车辆后方观察，使得车辆更为易见的灯具
D2-F8-8-5,伴我回家,前组合灯延时关闭，在钥匙拔出/整车退电时，前组合灯、后组合灯、后视镜集成照地灯额外点亮一段时间
D2-F8-8-6,接近照明,遥控解锁时，根据外界环境情况自动打开近光灯过一段时间，提供一定时间的照明
D2-F8-8-7,氛围灯,氛围灯模式，亮度等调节
D2-F8-8-8,自适应远光灯,通过人机交互界面开启/关闭自适应远光灯
D2-F8-8-9,位置灯二次提亮,通过人机交互界面开启/关闭位置灯二次提亮
D2-F8-8-10,内灯控制,阅读灯开关/亮度温/光锥
D2-F8-10,控制面板,快捷按键/图标、通知信息
D2-F8-10-1,快捷按键/图标,提供常用车控功能快捷按键入口的打开/关闭（如WIFI、网络连接、蓝牙、自动亮度等）；支持APP的快捷按键桌面添加/移除；支持窗口小工具添加/移除，如常用地址、联系人显示，待办日程提醒、天气、时钟等图标
D2-F8-10-2,通知信息,支持通知显示（包含通知标题、通知内容）（包含故障、告警消息）；支持通知信息删除；支持通知中心与历史通知查看
D2-F8-11,IC设置,语言设置、主题切换、背光调节、恢复出厂设置等功能
D2-F8-11-1,语言设置【随IVI】,支持中/英文切换，由 IVI 侧触发切换中/英文，下一次上电周期，保持上一次设置状态
D2-F8-11-2,主题切换【随IVI】,白天模式/黑夜模式， 由 IVI 侧触发，下一次上电周期，保持上一次设置状态
D2-F8-11-3,显示单位【随IVI】,支持公制/英制切换，由 IVI 侧触发，下一次上电周期，保持上一次设置状态
D2-F8-11-4,背光调节,支持仪表背光亮度独立调节；支持仪表背光亮度自适应调节（主机自带亮度传感器，可同步给仪表）
D2-F8-11-5,恢复出厂设置【随IVI】,恢复出厂设置，由 IVI 侧触发
D2-F8-11-6,最佳体验模式【随IVI】,最佳体验模式，由 IVI 侧触发
D2-F8-11-7,展车模式【随IVI】,展车模式（随IVI）
D2-F8-11-8,SLA显示设置,限速辅助功能开启/关闭设置
D2-F8-11-9,情景模式息屏处理,进入情景模式后执行熄屏操作
D2-F8-11-10,工程模式,工程模式打开后，可进行：版本号显示、日志导出、软件线下升级、后台设置、跳过挡位检测开关（台架测试需求）、其它功能
D2-F8-11-11,截屏上传（视频流分析）,工程模式下，定位问题时截屏本地保存，并上传至云
D2-F8-11-12,配置信息查看,查看IC配置信息
D2-F8-11-13,里程备份,具有里程备份的功能，以支持VDC硬件更换场景，车辆里程可如实恢复
D2-F8-12,HUD设置,HUD设置
D2-F8-12-1,HUD开关,默认情况下，HUD 随着 KL15电自动开启和关闭，并可记忆上一次断电的状态；在 KL15 上电的情况下，驾驶员可通过 HUD 开关来手动关闭或者开启平视显示仪。
D2-F8-12-2,虚像高度调节,HUD 打开时，显示界面会自动调节到上次关闭前的位置; 根据高度调节+/-可手动调整虚像上/下位置，调节完成后保存虚像显示图像的当前位置。虚像高度调节支持至少 20 组显示高度手动调节档位，可记忆当前等级位置，且能在断电后保持之前设置的高度档位
D2-F8-12-3,虚像亮度调节,HUD 打开时，显示界面会自动调节到上次关闭前的亮度；根据亮度调节+/-可手动调整虚像亮度高低，调节完成后保存虚像显示图像的当前亮度；虚像亮度调节支持至少 20 组显示亮度手动调节档位，可记忆当前等级位置，且能在断电后保持之前设置的亮度档位;
D2-F8-12-4,虚像亮度自动调节开关,默认情况下， 自动调节功能随着 KL15电自动开启和关闭，并可记忆上一次断电的状态；在 KL15 上电的情况下，驾驶员可通过自动调节开关来手动关闭或者开启该功能。
D2-F8-12-6,雪地模式,默认情况下， 雪地模式功能随着 KL15电自动开启和关闭，并可记忆上一次断电的状态；在 KL15 上电的情况下，驾驶员可通过雪地模式开关来手动关闭或者开启该功能。
D2-F8-12-7,人眼标定功能,在驾驶员上车后，可根据DMS提供眼点坐标自动调节最佳曲面镜位置，图像显示最佳高度位置；在驾驶员上车后，可根据DMS提供眼点坐标自动调节最佳图像Warping效果；
D2-F8-12-8,显示内容自定义（导航系统；巡航辅助系统；限速信息）,支持显示内容的用户自定义，且能在断电后保持之前设置的自定义内容。至少以下 3 组自定义项
D2-F9-1,应用管理,支持应用存储空间查看和清理
D2-F9-1-1,存储查看提醒,支持应用存储空间不足提醒、查看
D2-F9-1-2,清除应用,支持分类清除应用文件
D2-F9-1-3,应用空间管理,支持存储空间清理、格式化
D2-F9-2,三方生态APP,三方生态APP
D2-F9-2-1,在线音乐,支持华为音乐、在线音乐类公版应用（依赖三方）
D2-F9-2-2,在线电台/有声读物,支持在线电台/有声读物类公版应用（依赖三方）
D2-F9-2-3,在线电影,支持在线电影类公版应用（依赖三方）
D2-F9-2-4,语音/视频聊天,基于网络的视频和网络电话服务（依赖三方）
D2-F9-2-5,社交平台,支持人们与其他人建立社交关系（依赖三方）
D2-F9-2-8,主题换肤,切换车内屏幕显示主题（如黑/白模式皮肤）
D2-F9-2-9,车载电子用户手册,支持用户查询电子用户手册
D2-F9-2-10,智能办公辅助,支持日程/会议提醒设置，可同步手机端（日程设置、提醒功能）（依赖三方）；支持办公软件浏览（如WPS）（依赖三方）；支持视频会议，可同步手机端（如WELINK），实现视频会议数据的跨端无缝流转等能力（依赖三方）
D2-F9-3,应用市场,应用下载、应用更新、更新管理、安装管理等
D2-F10-1,行车工具,帮助用户执行某些任务的应用程序，提示用户某些信息
D2-F10-1-1,文档浏览,支持常用文档浏览的能力（WPS）（依赖三方）
D2-F10-1-2,图库,查看、编辑、管理图片（图片本地浏览）
D2-F10-1-3,日历,农历、节假日显示；上车时的当日日程同步提醒；通过语音输入新增日程，日程查看（依赖三方）
D2-F10-1-4,天气,显示天气信息（包括天气App及API数据接口接入）（依赖三方）
D2-F10-1-5,实用工具,计算器和录音【和李俊博确认具体内容】（依赖三方）
D2-F10-1-6,消息盒子,云端新消息通知，版本、软件更新、事件报警等，数据同步到手机（关联通知中心）
D2-F10-1-7,时钟,车机卡片式显示；支持本地时钟信号；支持GPTP协议信号时钟同步更新
D2-F10-2,输入法,支持小艺输入法输入
D2-F10-2-1,26全键盘输入法,26全键盘输入法
D2-F10-2-2,安全键盘,安全键盘
D2-F10-2-3,语音转文字输入（OTA）,语音转文字输入（OTA）
D2-F10-2-4,手写输入（OTA）,手写输入（OTA）
D2-F10-2-5,中英文键盘输入,中英文键盘输入
D2-F11-1,情景智能,"实现对用车场景的自动识别，及相应功能、内容与服务的自动推荐和批处理；
支持场景自定义编辑，包含模式名称、语音提醒（TTS播报语）、背景音乐、车设编辑（根据具体的可编辑能力释放，如车窗、空调、灯光等）、结束（TTS播报语）"
D2-F11-1-1,小憩模式,可设置小憩时长，开启后关闭车外灯、关闭车窗、调整空调、调整座椅、调节氛围灯颜色与亮度
D2-F11-1-2,哨兵模式,哨兵模式入口
D2-F11-1-3,洗车模式,车辆进入洗车场前准备就绪，如可自动关闭车窗天窗、后视镜折叠、雨刮关闭等。
D2-F11-1-4,车内关怀模式,车辆进入临停状态，如电源模式维持ON状态等。
D2-F11-1-5,迎宾功能,便捷上、下车：座椅和方向盘随驾驶员上下车而动作，包含灯光（含迎宾光毯）/座椅/方控/后视镜等全部迎宾
D2-F11-1-7,办公场景,"支持前后排手机入会后，投屏到车内屏幕，华为手机支持一碰投；支持通过车机上APP入会(含超级桌面)。
支持在车端基于腾讯会议等APP入会，支持视频会议。"
D2-F11-1-8,场景寻车,通过AVM摄像头结合OCR、透明底盘算法，在停车时对周围环境中的车位编号等关键位置信息进行识别，并发送至用户手机侧
D2-F11-1-9,超级省电模式,功能开关项；功能说明和提示；显示模式关系（置灰等）；节能驾驶提示等
D2-F11-1-10,维修模式,整车维修模式进入及设置
D2-F11-1-11,可编程座舱,哆啦编排
D2-F11-1-12,智能充电领航,在需要充电场景下，由导航推荐最优路径
D2-F11-1-13,晕车舒缓模式,开启后可以减缓用户晕车影响
D2-F11-1-14,拖车模式,整车拖车模式进入及设置
D2-F11-1-15,一键备车,开启一键备车，满足不同季节的人体舒适性和车辆动力性的特性。包括：远程空调、远程座椅、空气净化、前除霜、方向盘加热、备车电池加热和备车充电。
D2-F11-1-19,儿童遗落提醒模式,通过监控车内儿童是否遗落，来进行相应的提醒，从而保障遗落儿童的安全
D2-F11-1-20,儿童座椅通讯功能,实现儿童座椅与车机通讯，当ISOFIX未固定或安全带卡扣未卡紧时，触发告警
D2-F11-1-23,车机流量管家,通过车机流量管家，用户可以查询到流量的具体使用情况，也可用户售后维测，分析流量异常的原因
D2-F11-1-24,屏幕清洁,该模式下整车所有支持触控的显示屏，在中控屏呈现退出的入口，其余屏幕提示在中控屏幕退出屏幕清洁模式
D2-F11-1-25,露营模式,在停车状态下为车内提供舒适环境的功能，方便用户在车内长时间停留。该模式通过大容量电池组和电池管理系统，确保空调系统持续运行，保持车内温度适宜和空气流通
D2-F11-2,智能服务,智能引导，帮助用户提高驾驶表现 (包含客户驾驶习惯分析及经济指导）；智能搜索，智能推荐，根据用户的喜好，系统能自行推荐关联内容及服务
